settle_date,contract,settle_price
2019/3/27,201903W4,10541
2019/3/20,201903,10545
2019/3/13,201903W2,10365
2019/3/6,201903W1,10340
2019/2/27,201902W4,10376
2019/2/20,201902,10256
2019/2/13,201902W2,10100
2019/2/11,201902W1,10020
2019/1/30,201901W5,9930
2019/1/23,201901W4,9837
2019/1/16,201901,9784
2019/1/9,201901W2,9735
2019/1/2,201901W1,9550
2018/12/26,201812W4,9489
2018/12/19,201812,9768
2018/12/12,201812W2,9829
2018/12/5,201812W1,9904
2018/11/28,201811W4,9874
2018/11/21,201811,9743
2018/11/14,201811W2,9788
2018/11/7,201811W1,9889
2018/10/31,201810W5,9733
2018/10/24,201810W4,9774
2018/10/17,201810,9994
2018/10/11,201810W2,9819
2018/10/3,201810W1,10852
2018/9/26,201809W4,10962
2018/9/19,201809,10872
2018/9/12,201809W2,10724
2018/9/5,201809W1,11000
2018/8/29,201808W5,11061
2018/8/22,201808W4,10791
2018/8/15,201808,10737
2018/8/8,201808W2,11056
2018/8/1,201808W1,11085
2018/7/25,201807W4,10970
2018/7/18,201807,10844
2018/7/11,201807W2,10655
2018/7/4,201807W1,10729
2018/6/27,201806W4,10728
2018/6/20,201806,10936
2018/6/13,201806W2,11169
2018/6/6,201806W1,11200
2018/5/30,201805W5,10835
2018/5/23,201805W4,10919
2018/5/16,201805,10872
2018/5/9,201805W2,10722
2018/5/2,201805W1,10611
2018/4/25,201804W4,10566
2018/4/18,201804,10846
2018/4/11,201804W2,10975
2018/4/9,201804W1,10896
2018/3/28,201803W4,10862
2018/3/21,201803,11045
2018/3/14,201803W2,11044
2018/3/7,201803W1,10761
2018/3/1,201802W4,10797
2018/2/21,201802,10705
2018/2/7,201802W1,10579
2018/1/31,201801W5,11139
2018/1/24,201801W4,11129
2018/1/17,201801,11020
2018/1/10,201801W2,10825
2018/1/3,201801W1,10792
2017/12/27,201712W4,10479
2017/12/20,201712,10497
2017/12/13,201712W2,10462
2017/12/6,201712W1,10393
2017/11/29,201711W5,10709
2017/11/22,201711W4,10817
2017/11/15,201711,10638
2017/11/8,201711W2,10816
2017/11/1,201711W1,10800
2017/10/25,201710W4,10749
2017/10/18,201710,10728
2017/10/11,201710W2,10641
2017/10/5,201710W1,10522
2017/9/27,201709W4,10335
2017/9/20,201709,10510
2017/9/13,201709W2,10543
2017/9/6,201709W1,10550
2017/8/30,201708W5,10557
2017/8/23,201708W4,10393
2017/8/16,201708,10254
2017/8/9,201708W2,10468
2017/8/2,201708W1,10500
2017/7/26,201707W4,10422
2017/7/19,201707,10500
2017/7/12,201707W2,10427
2017/7/5,201707W1,10390
2017/6/28,201706W4,10401
2017/6/21,201706,10369
2017/6/14,201706W2,10049
2017/6/7,201706W1,10203
2017/5/31,201705W5,10038
2017/5/24,201705W4,10046
2017/5/17,201705,10000
2017/5/10,201705W2,9953
2017/5/3,201705W1,9945
2017/4/26,201704W4,9851
2017/4/19,201704,9639
2017/4/12,201704W2,9808
2017/4/5,201704W1,9911
2017/3/29,201703W5,9845
2017/3/22,201703W4,9905
2017/3/15,201703,9733
2017/3/8,201703W2,9761
2017/3/1,201703W1,9690
2017/2/22,201702W4,9778
2017/2/15,201702,9799
2017/2/8,201702W2,9550
2017/2/2,201701W4,9440
2017/1/18,201701,9340
2017/1/11,201701W2,9343
2017/1/4,201701W1,9285
2016/12/28,201612W4,9198
2016/12/21,201612,9232
2016/12/14,201612W2,9377
2016/12/7,201612W1,9258
2016/11/30,201611W5,9217
2016/11/23,201611W4,9179
2016/11/16,201611,8984
2016/11/9,201611W2,8940
2016/11/2,201611W1,9151
2016/10/26,201610W4,9363
2016/10/19,201610,9280
2016/10/12,201610W2,9247
2016/10/5,201610W1,9261
2016/9/29,201609W4,9287
2016/9/21,201609,9221
2016/9/14,201609W2,8902
2016/9/7,201609W1,9261
2016/8/31,201608W5,9074
2016/8/24,201608W4,9030
2016/8/17,201608,9121
2016/8/10,201608W2,9181
2016/8/3,201608W1,9004
2016/7/27,201607W4,9054
2016/7/20,201607,9003
2016/7/13,201607W2,8845
2016/7/6,201607W1,8579
2016/6/29,201606W5,8585
2016/6/22,201606W4,8694
2016/6/15,201606,8602
2016/6/8,201606W2,8704
2016/6/1,201606W1,8598
2016/5/25,201605W4,8387
2016/5/18,201605,8149
2016/5/11,201605W2,8139
2016/5/4,201605W1,8171
2016/4/27,201604W4,8567
2016/4/20,201604,8519
2016/4/13,201604W2,8641
2016/4/6,201604W1,8523
2016/3/30,201603W5,8735
2016/3/23,201603W4,8745
2016/3/16,201603,8691
2016/3/9,201603W2,8616
2016/3/2,201603W1,8549
2016/2/24,201602W4,8276
2016/2/17,201602,8212
2016/2/15,201602W2,8053
2016/2/3,201602W1,8077
2016/1/27,201601W4,7844
2016/1/20,201601,7704
2016/1/13,201601W2,7814
2016/1/6,201601W1,7996
2015/12/30,201512W5,8281
2015/12/23,201512W4,8316
2015/12/16,201512,8198
2015/12/9,201512W2,8252
2015/12/2,201512W1,8463
2015/11/25,201511W4,8372
2015/11/18,201511,8335
2015/11/11,201511W2,8428
2015/11/4,201511W1,8851
